start	10	1980	1	2	18
	348	244	217.500000	32.000000	9.999592e+04	1.340637e+01	0.000000e+00	1980	1	2	18
	349	247	218.125000	33.500000	9.953391e+04	1.042507e+01	0.000000e+00	1980	1	3	0
	351	250	219.375000	35.000000	9.970685e+04	1.738988e+01	0.000000e+00	1980	1	3	6
	353	253	220.625000	36.500000	9.946070e+04	2.229028e+01	0.000000e+00	1980	1	3	12
	353	252	220.625000	36.000000	9.950311e+04	2.260616e+01	0.000000e+00	1980	1	3	18
	356	254	222.500000	37.000000	9.935930e+04	1.990057e+01	0.000000e+00	1980	1	4	0
	357	256	223.125000	38.000000	9.929528e+04	2.135016e+01	0.000000e+00	1980	1	4	6
	357	257	223.125000	38.500000	9.904403e+04	2.135987e+01	0.000000e+00	1980	1	4	12
	355	257	221.875000	38.500000	9.893406e+04	2.497976e+01	0.000000e+00	1980	1	4	18
	354	254	221.250000	37.000000	9.899238e+04	1.942065e+01	0.000000e+00	1980	1	5	0
start	16	1980	1	5	12
	135	160	84.375000	-10.000000	1.003833e+05	9.324637e+00	0.000000e+00	1980	1	5	12
	139	163	86.875000	-8.500000	1.006681e+05	1.225286e+01	0.000000e+00	1980	1	6	6
	140	162	87.500000	-9.000000	1.005093e+05	1.370465e+01	0.000000e+00	1980	1	6	18
	134	162	83.750000	-9.000000	1.003934e+05	1.727525e+01	0.000000e+00	1980	1	7	0
	135	162	84.375000	-9.000000	1.005516e+05	1.425804e+01	0.000000e+00	1980	1	7	6
	134	162	83.750000	-9.000000	1.004073e+05	1.405080e+01	0.000000e+00	1980	1	7	18
	134	162	83.750000	-9.000000	1.003400e+05	1.455988e+01	0.000000e+00	1980	1	8	0
	134	162	83.750000	-9.000000	1.004864e+05	1.466627e+01	0.000000e+00	1980	1	8	6
	133	164	83.125000	-8.000000	9.998117e+04	1.642725e+01	0.000000e+00	1980	1	9	0
	133	164	83.125000	-8.000000	1.000942e+05	1.738773e+01	0.000000e+00	1980	1	9	6
	133	164	83.125000	-8.000000	1.002179e+05	1.255770e+01	0.000000e+00	1980	1	9	12
	134	165	83.750000	-7.500000	1.001078e+05	1.542397e+01	0.000000e+00	1980	1	10	0
	134	165	83.750000	-7.500000	1.002018e+05	1.655490e+01	0.000000e+00	1980	1	10	6
	135	165	84.375000	-7.500000	1.000884e+05	1.492663e+01	0.000000e+00	1980	1	10	12
	135	165	84.375000	-7.500000	1.003653e+05	1.495360e+01	0.000000e+00	1980	1	10	18
	137	164	85.625000	-8.000000	1.002584e+05	1.314899e+01	0.000000e+00	1980	1	11	0
start	23	1980	1	6	12
	140	184	87.500000	2.000000	1.004675e+05	1.285815e+01	0.000000e+00	1980	1	6	12
	140	184	87.500000	2.000000	1.006473e+05	1.453936e+01	0.000000e+00	1980	1	6	18
	139	184	86.875000	2.000000	1.004409e+05	1.451859e+01	0.000000e+00	1980	1	7	0
	139	184	86.875000	2.000000	1.007129e+05	1.421028e+01	0.000000e+00	1980	1	7	6
	138	183	86.250000	1.500000	1.005525e+05	1.216318e+01	0.000000e+00	1980	1	7	12
	138	183	86.250000	1.500000	1.005965e+05	1.481819e+01	0.000000e+00	1980	1	7	18
	138	183	86.250000	1.500000	1.004931e+05	1.374606e+01	0.000000e+00	1980	1	8	0
	138	183	86.250000	1.500000	1.005548e+05	1.440303e+01	0.000000e+00	1980	1	8	6
	138	183	86.250000	1.500000	1.002904e+05	1.686303e+01	0.000000e+00	1980	1	8	12
	138	183	86.250000	1.500000	1.005033e+05	1.525252e+01	0.000000e+00	1980	1	8	18
	137	183	85.625000	1.500000	1.004103e+05	1.379903e+01	0.000000e+00	1980	1	9	0
	137	183	85.625000	1.500000	1.004968e+05	1.418150e+01	0.000000e+00	1980	1	9	6
	137	183	85.625000	1.500000	1.004664e+05	1.343814e+01	0.000000e+00	1980	1	9	12
	137	183	85.625000	1.500000	1.007395e+05	1.306032e+01	0.000000e+00	1980	1	9	18
	130	182	81.250000	1.000000	1.006108e+05	1.363079e+01	0.000000e+00	1980	1	10	0
	138	183	86.250000	1.500000	1.005445e+05	1.021480e+01	0.000000e+00	1980	1	10	12
	137	185	85.625000	2.500000	1.004563e+05	1.087421e+01	0.000000e+00	1980	1	11	12
	133	183	83.125000	1.500000	1.005970e+05	1.091554e+01	0.000000e+00	1980	1	12	12
	133	183	83.125000	1.500000	1.007550e+05	1.058047e+01	0.000000e+00	1980	1	12	18
	132	183	82.500000	1.500000	1.005294e+05	1.159745e+01	0.000000e+00	1980	1	13	0
	130	183	81.250000	1.500000	1.007985e+05	1.079286e+01	0.000000e+00	1980	1	13	6
	130	182	81.250000	1.000000	1.008804e+05	9.445480e+00	0.000000e+00	1980	1	13	18
	129	183	80.625000	1.500000	1.007966e+05	9.688700e+00	0.000000e+00	1980	1	14	12
start	24	1980	1	7	0
	191	150	119.375000	-15.000000	9.994830e+04	1.218703e+01	0.000000e+00	1980	1	7	0
	189	150	118.125000	-15.000000	9.964712e+04	1.347892e+01	0.000000e+00	1980	1	7	6
	190	149	118.750000	-15.500000	9.957723e+04	1.547137e+01	0.000000e+00	1980	1	7	12
	190	146	118.750000	-17.000000	9.910851e+04	1.709419e+01	0.000000e+00	1980	1	7	18
	190	146	118.750000	-17.000000	9.861627e+04	2.405691e+01	0.000000e+00	1980	1	8	0
	190	144	118.750000	-18.000000	9.858528e+04	2.007901e+01	0.000000e+00	1980	1	8	6
	189	144	118.125000	-18.000000	9.834344e+04	2.205301e+01	0.000000e+00	1980	1	8	12
